Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2025-08-26 10:44:22,"Morning Workout",28m,"Seated Overhead Press (Dumbbell)",1,17.5,10.0,0,0.0,"","",
2025-08-26 10:44:22,"Morning Workout",28m,"Seated Overhead Press (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Seated Overhead Press (Dumbbell)",2,17.5,10.0,0,0.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Seated Overhead Press (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Seated Overhead Press (Dumbbell)",3,17.5,10.0,0,0.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Seated Overhead Press (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bench Press (Dumbbell)",1,17.5,10.0,0,0.0,"",,
2025-08-26 10:44:22,"Morning Workout",28m,"Bench Press (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bench Press (Dumbbell)",2,17.5,10.0,0,0.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bench Press (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bench Press (Dumbbell)",3,17.5,10.0,0,0.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bench Press (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bicep Curl (Dumbbell)",1,17.5,12.0,0,0.0,"",,
2025-08-26 10:44:22,"Morning Workout",28m,"Bicep Curl (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bicep Curl (Dumbbell)",2,17.5,12.0,0,0.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bicep Curl (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bicep Curl (Dumbbell)",3,17.5,12.0,0,0.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Bicep Curl (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Lateral Raise (Dumbbell)",1,7.5,8.0,0,0.0,"",,
2025-08-26 10:44:22,"Morning Workout",28m,"Lateral Raise (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Plank",1,0,0.0,0,30.0,"",,
2025-08-26 10:44:22,"Morning Workout",28m,"Plank",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Plank",2,0,0.0,0,30.0,,,
2025-08-26 10:44:22,"Morning Workout",28m,"Plank",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Squat (Dumbbell)",1,15.0,12.0,0,0.0,"","",
2025-08-26 17:50:41,"Afternoon Workout",10m,"Squat (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Squat (Dumbbell)",2,15.0,12.0,0,0.0,,,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Squat (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Squat (Dumbbell)",3,15.0,12.0,0,0.0,,,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Squat (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Walking",1,0,0.0,0.08,2.0,"",,
2025-08-26 17:50:41,"Afternoon Workout",10m,"Walking",Rest Timer,0,0.0,0,120.0,,,
2025-08-27 18:09:55,"Evening Workout",31m,"Bicep Curl (Dumbbell)",1,20.0,10.0,0,0.0,"","",
2025-08-27 18:09:55,"Evening Workout",31m,"Bicep Curl (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-27 18:09:55,"Evening Workout",31m,"Bicep Curl (Dumbbell)",2,20.0,10.0,0,0.0,,,
2025-08-27 18:09:55,"Evening Workout",31m,"Bicep Curl (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-27 18:09:55,"Evening Workout",31m,"Bicep Curl (Dumbbell)",3,20.0,10.0,0,0.0,,,
2025-08-27 18:09:55,"Evening Workout",31m,"Bicep Curl (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
2025-08-27 18:09:55,"Evening Workout",31m,"Incline Row (Dumbbell)",1,17.5,10.0,0,0.0,"",,
2025-08-27 18:09:55,"Evening Workout",31m,"Incline Row (Dumbbell)",Rest Timer,0,0.0,0,120.0,,,
